nombre_corto,departamento,centro,escuela,carrera
Central,Guatemala,Campus Central,FACULTAD DE AGRONOMÍA,Ingeniería Agronómica en Recursos Naturales Renovables
Central,Guatemala,Campus Central,FACULTAD DE AGRONOMÍA,Ingeniería Agronómica en Sistemas de Producción Agrícola
Central,Guatemala,Campus Central,FACULTAD DE AGRONOMÍA,Ingeniería en Gestión Ambiental Local
Central,Guatemala,Campus Central,FACULTAD DE AGRONOMÍA,Ingeniería en Industrias Agropecuarias y Forestales
Central,Guatemala,Campus Central,FACULTAD DE AGRONOMÍA,Maestría Comercio Internacional de Productos Agrícolas
Central,Guatemala,Campus Central,FACULTAD DE AGRONOMÍA,Maestría en Desarrollo Rural
Central,Guatemala,Campus Central,FACULTAD DE AGRONOMÍA,Maestría en Gestión Ambiental Local
Central,Guatemala,Campus Central,FACULTAD DE AGRONOMÍA,Doctorado en Ciencias Agrícolas y Ambientales
Central,Guatemala,Campus Central,FACULTAD DE ARQUITECTURA,Arquitectura
Central,Guatemala,Campus Central,FACULTAD DE ARQUITECTURA,Licenciatura en Diseño Grafico
Central,Guatemala,Campus Central,FACULTAD DE ARQUITECTURA,Maestría en Desarrollo Urbano y Territorio
Central,Guatemala,Campus Central,FACULTAD DE ARQUITECTURA,"Maestría en Diseño, Planificación y Manejo Ambiental"
Central,Guatemala,Campus Central,FACULTAD DE ARQUITECTURA,Maestría en Gerencia de Proyectos Arquitectónicos
Central,Guatemala,Campus Central,FACULTAD DE ARQUITECTURA,Maestría en Mercadeo Para el Diseño
Central,Guatemala,Campus Central,FACULTAD DE ARQUITECTURA,Maestría en Planificación y Diseño del Paisaje
Central,Guatemala,Campus Central,FACULTAD DE ARQUITECTURA,"Maestría en Restauración de Monumentos, Especialidad en Bienes Inmuebles y Centros Históricos"
Central,Guatemala,Campus Central,FACULTAD DE ARQUITECTURA,Doctorado en Arquitectura
Central,Guatemala,Campus Central,FACULTAD DE CIENCIAS ECONÓMICAS,Administración de Empresas
Central,Guatemala,Campus Central,FACULTAD DE CIENCIAS ECONÓMICAS,Contaduría Pública y Auditoría
Central,Guatemala,Campus Central,FACULTAD DE CIENCIAS ECONÓMICAS,Economía
Central,Guatemala,Campus Central,FACULTAD DE CIENCIAS ECONÓMICAS,Maestría en Administración de Recursos Humanos
Central,Guatemala,Campus Central,FACULTAD DE CIENCIAS ECONÓMICAS,Maestría en Administración Financiera
Central,Guatemala,Campus Central,FACULTAD DE CIENCIAS ECONÓMICAS,Maestría en Consultoría Tributaria
