centro,nombre_corto,departamento,lugar,long,lat
Campus Central,Central,Guatemala,,-90.5527833634251,14.5852752518767
Centro Universitario Metropolitano,CUM,Guatemala,,-90.54556606858,14.6114146506941
Centro De Estudios Del Mar Y Acuicultura,CEMA,Guatemala,,-90.557180339607,14.583854017921
Centro Universitario De Occidente,CUNOC,Quetzaltenango,,-91.5353025754705,14.8451049820964
Centro Universitario Del Norte,CUNOR,Alta Verapaz,,-90.3896445789126,15.464757668311
Centro Universitario De Oriente,CUNORI,Chiquimula,,-89.5317825270781,14.8023740555471
Centro Universitario De Noroccidente,CUNOROC,Huehuetenango,,-91.5326724504012,15.3098061553218
Centro Universitario Del Sur,CUNSUR,Escuintla,,-90.7859617313287,14.3189774471645
Centro Universitario De Suroccidente,CUNSUROC,Suchitepéquez,,-91.5211609112108,14.5289362061506
Centro Universitario De Suroriente,CUNSURORI,Jalapa,,-89.9876095586173,14.6276231360873
Centro Universitario De San Marcos,CUSAM,San Marcos,,-91.7994606395448,14.9650901114196
Centro Universitario De Petén,CUDEP,Petén,,-89.8852264770301,16.9187538093641
Centro Universitario De Izabal,CUNIZAB,Izabal,,-88.5839157445399,15.6937968271019
Centro Universitario De Santa Rosa,CUNSARO,Santa Rosa,,-90.2864344776887,14.2659388935494
Centro Universitario De Jutiapa,CUNJUT,Jutiapa,,-89.8983368530907,14.2945612400981
Centro Universitario De Chimaltenango,CUNDECH,Chimaltenango,,-90.8322019563466,14.6608182172267
Centro Universitario De Baja Verapaz,CUNBAV,Baja Verapaz,,-90.3995507006452,15.0885720016706
Centro Universitario De El Progreso,CUNPROGRESO,Guastatoya,,-90.0777233764994,14.8609236951229
Centro Universitario De Totonicapán,CUNTOTO,Totonicapán,,-91.3586976337719,14.911487142207
Centro Universitario De El Quiché,CUSACQ,Santa Cruz Del Quiché,,-91.1517861229896,15.03302511035
Centro Universitario De Zacapa,CUNZAC,Zacapa,,-89.5291099877355,14.9666620612717
Centro Universitario De Sololá,CUNSOL,Sololá,,-91.1869363272688,14.7675612482063
Centro Universitario De Sacatepéquez,CUNSAC,San Antonio Aguas Calientes,,-90.7859473954229,14.545964487473
Centro Universitario De Retalhuleu,CUNREU,Retalhuleu,,-91.5963911022253,14.6207685990887
Instituto Tecnológico Maya De Estudios Superiores,ITMES,Alta Verapaz,,-90.3296206611163,15.4132134532746
Instituto Tecnológico Universitario Guatemala,ITUGS,Escuintla,,-90.7232807762254,14.3747890191593
