centro,lugar,long,lat
Campus Central,,-90.5527833634251,14.5852752518767
Centro Universitario Metropolitano,,-90.54556606858,14.6114146506941
"Centro De Estudios Del Mar Y Acuicultura -Cema-, Guatemala",,-90.557180339607,14.583854017921
"Centro Universitario De Occidente -Cunoc-, Quetzaltenango",,-91.5353025754705,14.8451049820964
"Centro Universitario Del Norte -Cunor-, Cobán, Alta Verapaz",,-90.3896445789126,15.464757668311
"Centro Universitario De Oriente -Cunori-, Chiquimula",,-89.5317825270781,14.8023740555471
"Centro Universitario De Noroccidente -Cunoroc-, Huehuetenango",,-91.5326724504012,15.3098061553218
"Centro Universitario Del Sur -Cunsur-, Escuintla",,-90.7859617313287,14.3189774471645
"Centro Universitario De Suroccidente -Cunsuroc-, Mazatenango, Suchitepéquez",,-91.5211609112108,14.5289362061506
"Centro Universitario De Suroriente -Cunsurori-, Jalapa",,-89.9876095586173,14.6276231360873
"Centro Universitario De San Marcos -Cusam-, San Marcos",,-91.7994606395448,14.9650901114196
"Centro Universitario De Petén -Cudep-, Santa Elena, Petén",,,
"Centro Universitario De Izabal -Cunizab-, Puerto Barrios, Izabal",,,
"Centro Universitario De Santa Rosa -Cunsaro-, Santa Rosa",,,
"Centro Universitario De Jutiapa -Cunjut-, Jutiapa",,,
"Centro Universitario De Chimaltenango -Cundech-, Chimaltenango",,,
"Centro Universitario De Baja Verapaz -Cunbav-, San Miguel Chicaj, Baja Verapaz",,,
"Centro Universitario De El Progreso -Cunprogreso-, Guastatoya",,,
"Centro Universitario De Totonicapán -Cuntoto-, Totonicapán",,,
"Centro Universitario De El Quiché -Cusacq-, Santa Cruz Del Quiché",,,
"Centro Universitario De Zacapa - Cunzac -, Zacapa",,,
"Centro Universitario De Sololá -Cunsol-, Sololá",,,
"Centro Universitario De Sacatepéquez -Cunsac-, San Antonio Aguas Calientes",,,
"Centro Universitario De Retalhuleu -Cunreu-, Retalhuleu",,,
"Instituto Tecnológico Maya De Estudios Superiores -Itmes-, San Juan Chamelco, Alta Verapaz",,,
"Instituto Tecnológico Universitario Guatemala - Sur -Itugs-, Palín, Escuintla",,,
